Beach,Longitude
12th Street,-87.6083000000005
57th Street,-87.57970000000078
63rd Street,-87.5748000000009
Calumet,-87.52989999999993
Fargo,-87.66470000000008
Foster,-87.65150000000051
Howard,-87.66629999999877
Humboldt,-87.70371699999997
Juneway,-87.66739999999918
Lane,-87.65450000000031
Leone,-87.66350000000054
Loyola,-87.66349999999984
Montrose,-87.63850000000063
Montrose Dog,-87.64261700000017
North Avenue,-87.62729999999964
North Shore,-87.65639999999988
Oak Street,-87.62350000000112
Oakwood,-87.59760000000053
Ohio Street,-87.61520000000017
Osterman,-87.65449999999906
Rainbow,-87.55100000000034
Rogers,-87.6665999999985
South Shore,-87.56360000000033
