Beach,DNA Reading Mean
12th Street,677.7394101876677
57th Street,341.8754098360654
63rd Street,823.0118764845611
Calumet,516.9119437939107
Foster,200.33795379537952
Hartigan (Albion),458.83069306930685
Howard,404.9030405405404
Humboldt,2065.1810526315794
Leone,308.4588039867109
Margaret T Burroughs (31st),693.4967828418232
Marion Mahony Griffin (Jarvis),295.0216666666666
Montrose,596.4241706161137
North Avenue,213.35994550408714
Oak Street,187.7003389830509
Oakwood,249.6031578947369
Ohio Street,359.5201086956521
Osterman,333.5735099337747
Rainbow,649.6649411764704
Rogers,1220.7978723404246
South Shore,539.419158878505
